spp,t_c,block,sample,type,date,pre_post,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
BA,T,A,1,1p Y(II),8/26/16,post,13:22:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,983,2936,0.665,33.5,120,25
BA,T,A,2,1p Y(II),8/26/16,post,13:22:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,819,2284,0.641,32.3,120,25
BA,T,A,3,1p Y(II),8/26/16,post,13:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,937,1611,0.418,21,120,25
BA,T,A,4,1p Y(II),8/26/16,post,13:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,810,1445,0.439,22.1,120,25
BA,T,A,5,1p Y(II),8/26/16,post,13:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,228,439,0.48,24.1,120,25
BA,T,A,6,1p Y(II),8/26/16,post,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1184,3276,0.638,32.1,120,25
BA,T,A,7,1p Y(II),8/26/16,post,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,505,1316,0.616,31,120,25
BA,T,A,8,1p Y(II),8/26/16,post,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1343,2428,0.446,22.4,120,25
BA,T,A,1,1p Y(II),8/29/16,pre,10:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1242,2654,0.532,26.8,120,25
BA,T,A,2,1p Y(II),8/29/16,pre,10:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1186,3597,0.67,33.7,120,25
BA,T,A,3,1p Y(II),8/29/16,pre,10:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,546,1248,0.562,28.3,120,25
BA,T,A,4,1p Y(II),8/29/16,pre,10:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,597,1173,0.491,24.7,120,25
BA,T,A,5,1p Y(II),8/29/16,pre,10:12:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,142,402,0.646,32.5,120,25
BA,T,A,6,1p Y(II),8/29/16,pre,10:12:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,128,206,0.378,19,120,25
BA,T,A,7,1p Y(II),8/29/16,pre,10:12:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1237,3519,0.648,32.6,120,25
BA,T,A,8,1p Y(II),8/29/16,pre,10:12:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,962,1586,0.393,19.8,120,25
BA,T,B,1,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,341,783,0.564,28.4,120,25
