spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
SF,T,A,2,8/26/16,pre,8:57:17,411,430,1.05,275
SF,T,A,2,8/26/16,post,14:03:02,487,542,1.11,314
SF,T,A,2,8/29/16,pre,10:47:47,314,345,1.1,307
SF,T,A,2,8/29/16,post,12:23:17,654,687,1.05,276
SF,T,A,2,8/31/16,pre,9:49:12,281,320,1.14,333
SF,T,A,2,8/31/16,post,13:56:05,336,362,1.08,295
SF,T,A,2,9/2/16,pre,8:42:05,294,329,1.12,320
SF,T,A,2,9/2/16,post,11:31:56,466,544,1.17,352
SF,T,B,2,8/24/16,pre,10:39:49,226,223,0.99,236
SF,T,B,2,8/24/16,post,14:31:34,160,171,1.07,287
SF,T,B,2,8/26/16,pre,9:11:26,304,338,1.11,313
SF,T,B,2,8/26/16,post,13:56:00,461,517,1.12,320
SF,T,B,2,8/29/16,pre,10:11:52,388,429,1.11,314
SF,T,B,2,8/29/16,post,11:36:56,494,539,1.09,301
SF,T,B,2,8/31/16,pre,9:41:45,367,409,1.12,320
SF,T,B,2,8/31/16,post,13:50:33,396,420,1.06,282
SF,T,B,2,9/2/16,pre,8:32:18,458,525,1.15,339
SF,T,B,2,9/2/16,post,10:30:11,200,239,1.2,371
SF,T,A,3,8/24/16,pre,13:44:33,255,235,0.92,192
SF,T,A,3,8/24/16,post,15:10:25,428,430,1.01,249
SF,T,A,3,8/26/16,pre,8:57:30,434,441,1.02,255
SF,T,A,3,8/26/16,post,14:03:12,517,555,1.07,288
SF,T,A,3,8/29/16,pre,10:47:56,344,371,1.08,295
SF,T,A,3,8/29/16,post,12:23:27,460,496,1.08,295
SF,T,A,3,8/31/16,pre,9:49:25,315,343,1.09,301
SF,T,A,3,8/31/16,post,13:56:15,279,299,1.07,288
SF,T,A,3,9/2/16,pre,8:42:17,305,338,1.11,314
SF,T,A,3,9/2/16,post,11:32:08,494,536,1.09,301
SF,T,B,3,8/24/16,pre,10:40:01,209,210,1.01,249
SF,T,B,3,8/24/16,post,14:31:48,155,165,1.07,287
SF,T,B,3,8/26/16,pre,9:11:40,235,257,1.1,306
SF,T,B,3,8/26/16,post,13:56:11,385,434,1.13,326
SF,T,B,3,8/29/16,pre,10:12:02,382,415,1.09,301
SF,T,B,3,8/29/16,post,11:37:08,422,490,1.16,345
SF,T,B,3,8/31/16,pre,9:41:57,319,361,1.13,326
