spp,t_c,block,sample,type,date,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
SO,T,B,3,1p Y(II),9/26/16,10:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,569,1636,0.652,32.8,120,25
SO,T,B,4,1p Y(II),9/26/16,10:02,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,569,1636,0.652,32.8,120,25
SO,T,B,5,1p Y(II),9/26/16,10:02,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,719,1598,0.55,27.7,120,25
SO,T,B,6,1p Y(II),9/26/16,10:02,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,232,318,0.27,13.6,120,25
SO,T,B,7,1p Y(II),9/26/16,10:02,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,581,859,0.323,16.2,120,25
SO,T,B,8,1p Y(II),9/26/16,10:02,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,118,134,0.119,5.9,120,25
SO,T,B,1,1p Y(II),9/28/16,10:03,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,618,2068,0.701,35.3,120,25
SO,T,B,2,1p Y(II),9/28/16,10:03,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1039,3168,0.672,33.8,120,25
SO,T,B,3,1p Y(II),9/28/16,10:03,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,840,2778,0.697,35.1,120,25
SO,T,B,4,1p Y(II),9/28/16,10:03,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1360,2414,0.436,21.9,120,25
SO,T,B,5,1p Y(II),9/28/16,10:04,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1156,3271,0.646,32.5,120,25
SO,T,B,6,1p Y(II),9/28/16,10:04,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,925,2422,0.618,31.1,120,25
SO,T,B,7,1p Y(II),9/28/16,10:04,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1183,2028,0.416,20.9,120,25
SO,T,B,8,1p Y(II),9/28/16,10:04,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1310,2132,0.385,19.4,120,25
SO,T,B,1,1p Y(II),9/28/16,12:12,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,131,339,0.613,30.8,120,25
SO,T,B,2,1p Y(II),9/28/16,12:12,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,131,339,0.613,30.8,120,25
SO,T,B,3,1p Y(II),9/28/16,12:12,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1404,2288,0.386,19.4,120,25
SO,T,B,4,1p Y(II),9/28/16,12:12,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,996,1633,0.39,19.6,120,25
SO,T,B,5,1p Y(II),9/28/16,12:12,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1165,3249,0.641,32.3,120,25
SO,T,B,6,1p Y(II),9/28/16,12:13,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,878,2000,0.561,28.2,120,25
SO,T,B,7,1p Y(II),9/28/16,12:13,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,366,474,0.227,11.4,120,25
SO,T,B,8,1p Y(II),9/28/16,12:13,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,797,1076,0.259,13,120,25
SO,T,B,1,1p Y(II),9/30/16,8:45,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,718,1135,0.367,18.4,120,25
SO,T,B,2,1p Y(II),9/30/16,8:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,737,2084,0.646,32.5,120,25
SO,T,B,3,1p Y(II),9/30/16,8:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,402,1384,0.709,35.7,120,25
SO,T,B,4,1p Y(II),9/30/16,8:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1533,1899,0.192,9.6,120,25
SO,T,B,5,1p Y(II),9/30/16,8:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1346,2101,0.359,18,120,25
SO,T,B,6,1p Y(II),9/30/16,8:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,912,1244,0.266,13.4,120,25
SO,T,B,7,1p Y(II),9/30/16,8:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,946,1325,0.286,14.4,120,25
SO,T,B,8,1p Y(II),9/30/16,8:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,695,929,0.251,12.6,120,25
SO,T,B,1,1p Y(II),9/30/16,9:45,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,716,1179,0.392,19.7,120,25
SO,T,B,2,1p Y(II),9/30/16,9:45,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,917,2026,0.547,27.5,120,25
SO,T,B,3,1p Y(II),9/30/16,9:45,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1332,1929,0.309,15.5,120,25
SO,T,B,4,1p Y(II),9/30/16,9:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,389,561,0.306,15.4,120,25
SO,T,B,5,1p Y(II),9/30/16,9:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1059,2530,0.581,29.2,120,25
SO,T,B,6,1p Y(II),9/30/16,9:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1913,2836,0.325,16.3,120,25
SO,T,B,7,1p Y(II),9/30/16,9:46,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,263,351,0.25,12.6,120,25
SO,T,B,8,1p Y(II),9/30/16,9:47,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,208,247,0.157,7.9,120,25
SO,C,A,1,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,466,1002,0.534,26.9,120,25
SO,C,A,2,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,322,455,0.292,14.7,120,25
SO,C,A,3,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,151,197,0.233,11.7,120,25
SO,C,A,4,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,535,823,0.349,17.5,120,25
SO,C,A,5,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,454,780,0.417,21,120,25
SO,C,A,6,1p Y(II),9/21/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,343,884,0.611,30.7,120,25
SO,C,A,7,1p Y(II),9/21/16,9:25,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,148,200,0.26,13.1,120,25
SO,C,A,8,1p Y(II),9/21/16,9:25,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1463,2423,0.396,19.9,120,25
SO,C,A,1,1p Y(II),9/23/16,9:38,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,485,875,0.445,22.4,120,25
SO,C,A,2,1p Y(II),9/23/16,9:38,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1651,2444,0.324,16.3,120,25
SO,C,A,3,1p Y(II),9/23/16,9:38,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1100,1615,0.318,16,120,25
SO,C,A,4,1p Y(II),9/23/16,9:38,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,229,284,0.193,9.7,120,25
SO,C,A,5,1p Y(II),9/23/16,9:38,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,639,1019,0.372,18.7,120,25
SO,C,A,6,1p Y(II),9/23/16,9:39,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,131,228,0.425,21.4,120,25
SO,C,A,7,1p Y(II),9/23/16,9:39,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,555,686,0.19,9.5,120,25
SO,C,A,8,1p Y(II),9/23/16,9:39,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,212,278,0.237,11.9,120,25
SO,C,A,1,1p Y(II),9/26/16,8:29,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1373,2031,0.323,16.2,120,25
SO,C,A,2,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1060,1642,0.354,17.8,120,25
SO,C,A,3,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1665,2373,0.298,15,120,25
SO,C,A,4,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1850,2854,0.351,17.6,120,25
SO,C,A,5,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1636,3220,0.491,24.7,120,25
SO,C,A,6,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1067,2542,0.58,29.2,120,25
SO,C,A,7,1p Y(II),9/26/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1586,2117,0.25,12.6,120,25
